60
10
[23.175,-4,-1.2]
[23.175,-4,-1.2]
[23.175,-4,-1.2]
[23.175,-4,-1.2]
[23.175,-4,-1.2]
[23.8258,-4,-1.2]
[24.4766,-4,-1.2]
[25.1274,-4,-1.2]
[25.7782,-4,-1.2]
[26.429,-4,-1.2]
[26.429,-4,-1.2]
[26.429,-4,-1.2]
[26.429,-4,-1.2]
[26.429,-4,-1.2]
[26.429,-4,-1.2]
[26.429,-4,-1.2]
[26.429,-4,-1.2]
[26.429,-4,-1.2]
[26.429,-4,-1.2]
[26.429,-4,-1.2]
[26.429,-4,-1.2]
[26.429,-4,-1.2]
[26.429,-4,-1.2]
[26.429,-4,-1.2]
[26.429,-4,-1.2]
[26.429,-4,-1.2]
[26.429,-4,-1.2]
[26.429,-4,-1.2]
[26.429,-4,-1.2]
[26.429,-4,-1.2]
[26.429,-4,-1.2]
[26.429,-4,-1.2]
[26.429,-4,-1.2]
[26.429,-4,-1.2]
[26.429,-4,-1.2]
[26.429,-4,-1.2]
[26.429,-4,-1.2]
[26.429,-4,-1.2]
[26.429,-4,-1.2]
[26.429,-4,-1.2]
[26.429,-4,-1.2]
[26.429,-4,-1.2]
[26.429,-4,-1.2]
[26.429,-4,-1.2]
[26.429,-4,-1.2]
[26.429,-4,-1.2]
[26.429,-4,-1.2]
[26.429,-4,-1.2]
[26.1578,-4,-1.2]
[25.8867,-4,-1.2]
[25.6155,-4,-1.2]
[25.3443,-4,-1.2]
[25.0732,-4,-1.2]
[24.802,-4,-1.2]
[24.5308,-4,-1.2]
[24.2597,-4,-1.2]
[23.9885,-4,-1.2]
[23.7173,-4,-1.2]
[23.4462,-4,-1.2]
[23.175,-4,-1.2]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
[1,0,0,0]
