39
10
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0]
[0,0,0,0]
[0,0,0,0]
[0,0,0,0]
[0,0,0,0]
[0,0,0,0]
[0,0,0,0]
[0,0,0,0]
[0,0,0,0]
[0,0,0,0]
[23.2191,0,0,-1]
[23.2191,0,0,-1]
[23.2191,0,0,-1]
[23.2191,0,0,-1]
[0,0,0,0]
[0,0,0,0]
[0,0,0,0]
[0,0,0,0]
[0,0,0,0]
[0,0,0,0]
[0,0,0,0]
[0,0,0,0]
[0,0,0,0]
[0,0,0,0]
[0,0,0,0]
[0,0,0,0]
[0,0,0,0]
[0,0,0,0]
[0,0,0,0]
[0,0,0,0]
[0,0,0,0]
[10.3196,0,0,1]
[10.3196,0,0,1]
[10.3196,0,0,1]
[10.3196,0,0,1]
[10.3196,0,0,1]
[10.3196,0,0,1]
[10.3196,0,0,1]
[10.3196,0,0,1]
[10.3196,0,0,1]
